iteration 1 max error 11.488971 
iteration 2 max error 7.133656 
iteration 3 max error 6.324659 
iteration 4 max error 5.635726 
iteration 5 max error 5.038824 
iteration 6 max error 4.512494 
iteration 7 max error 4.045202 
iteration 8 max error 3.628693 
iteration 9 max error 3.256548 
iteration 10 max error 2.923567 
-53.6025 -51.4575  -49.669 -48.0311 -46.4971
-53.6012 -51.4565 -49.6681 -48.0303 -46.4963
   -53.6 -51.4555 -49.6672 -48.0295 -46.4955
-53.5987 -51.4545 -49.6663 -48.0286 -46.4947
-53.5974 -51.4535 -49.6654 -48.0278 -46.4939
-53.5961 -51.4526 -49.6645 -48.0269 -46.4931
-53.5949 -51.4516 -49.6636 -48.0261 -46.4923
-53.5936 -51.4506 -49.6627 -48.0253 -46.4915
-53.5923 -51.4496 -49.6618 -48.0244 -46.4907
 -53.591 -51.4486 -49.6609 -48.0236   -46.49
-53.5898 -51.4476   -49.66 -48.0228 -46.4892
-53.5885 -51.4466 -49.6591 -48.0219 -46.4884
-53.5872 -51.4457 -49.6582 -48.0211 -46.4876
-53.5859 -51.4447 -49.6573 -48.0203 -46.4868
-53.5847 -51.4437 -49.6564 -48.0194  -46.486
-53.5834 -51.4427 -49.6555 -48.0186 -46.4852
-53.5821 -51.4417 -49.6546 -48.0177 -46.4844
-53.5808 -51.4407 -49.6537 -48.0169 -46.4836
-53.5796 -51.4398 -49.6528 -48.0161 -46.4828
-53.5783 -51.4388 -49.6519 -48.0152  -46.482
 -53.577 -51.4378  -49.651 -48.0144 -46.4812
-53.5758 -51.4368 -49.6501 -48.0136 -46.4804
-53.5745 -51.4358 -49.6492 -48.0127 -46.4796
-53.5732 -51.4348 -49.6483 -48.0119 -46.4788
-53.5719 -51.4339 -49.6474  -48.011  -46.478
-53.5707 -51.4329 -49.6465 -48.0102 -46.4773
-53.5694 -51.4319 -49.6456 -48.0094 -46.4765
-53.5681 -51.4309 -49.6447 -48.0085 -46.4757
-53.5669 -51.4299 -49.6438 -48.0077 -46.4749
-53.5656 -51.4289 -49.6429 -48.0069 -46.4741
-53.5643  -51.428  -49.642  -48.006 -46.4733
 -53.563  -51.427 -49.6411 -48.0052 -46.4725
-53.5618  -51.426 -49.6402 -48.0044 -46.4717
-53.5605  -51.425 -49.6393 -48.0035 -46.4709
-53.5592  -51.424 -49.6384 -48.0027 -46.4701
 -53.558 -51.4231 -49.6375 -48.0019 -46.4693
-53.5567 -51.4221 -49.6366  -48.001 -46.4685
